[2023-11-19 05:33:17.254] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:12 | Inserted log message into MongoDB with ID: 655950c567c227ac79cab9eb
[2023-11-19 05:33:17.290] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950c567c227ac79cab9eb
[2023-11-19 05:33:36.541] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:8 | Processing log message: {'level': 'error', 'message': 'Failed to connect to DB', 'resourceId': 'server-1234', 'timestamp': '2023-11-19T05:28:31.498381', 'traceId': 'abc-xyz-123', 'spanId': 'span-456', 'commit': '5e5342f', 'metadata': {'parentResourceId': 'server-0987'}}
[2023-11-19 05:33:36.582] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:12 | Inserted log message into MongoDB with ID: 655950d867c227ac79cab9ec
[2023-11-19 05:33:36.614] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950d867c227ac79cab9ec
[2023-11-19 05:33:38.289] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:8 | Processing log message: {'level': 'error', 'message': 'Failed to connect to DB', 'resourceId': 'server-1234', 'timestamp': '2023-11-19T05:28:31.498381', 'traceId': 'abc-xyz-123', 'spanId': 'span-456', 'commit': '5e5342f', 'metadata': {'parentResourceId': 'server-0987'}}
[2023-11-19 05:33:38.332] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:12 | Inserted log message into MongoDB with ID: 655950da67c227ac79cab9ed
[2023-11-19 05:33:38.392] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950da67c227ac79cab9ed
[2023-11-19 05:33:38.437] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:8 | Processing log message: {'level': 'error', 'message': 'Failed to connect to DB', 'resourceId': 'server-1234', 'timestamp': '2023-11-19T05:28:31.498381', 'traceId': 'abc-xyz-123', 'spanId': 'span-456', 'commit': '5e5342f', 'metadata': {'parentResourceId': 'server-0987'}}
[2023-11-19 05:33:38.478] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:12 | Inserted log message into MongoDB with ID: 655950da67c227ac79cab9ee
[2023-11-19 05:33:38.505] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950da67c227ac79cab9ee
[2023-11-19 05:33:38.584] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:8 | Processing log message: {'level': 'error', 'message': 'Failed to connect to DB', 'resourceId': 'server-1234', 'timestamp': '2023-11-19T05:28:31.498381', 'traceId': 'abc-xyz-123', 'spanId': 'span-456', 'commit': '5e5342f', 'metadata': {'parentResourceId': 'server-0987'}}
[2023-11-19 05:33:38.647] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:12 | Inserted log message into MongoDB with ID: 655950da67c227ac79cab9ef
